id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2JTir3y1VuJQmexiTCMcTP,Recairei - Ao Vivo,75,166838,0,['Os BarÃµes Da Pisadinha'],['5Lv2GUVwqmQBPwrTrxucE5'],10/15/2020,0.582,0.937,10,-2.118,1,0.0858,0.449,0,0.684,0.939,168.096,4
4uOKFydzAejjSFqYbv1XPt,Red Red Wine,75,183733,0,['UB40'],['69MEO1AADKg1IZrq2XLzo5'],2000,0.857,0.468,1,-8.53,1,0.0476,0.00414,1.32E-05,0.269,0.843,89.119,4
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),75,215307,1,"['Young Thug', 'Future']","['50co4Is1HCEo8bhOyUWKpn', '1RyvyyTE3xzB2ZywiAwp0i']",6/16/2017,0.842,0.597,2,-6.336,1,0.0627,0.00252,0,0.124,0.298,145.992,4
6ndmKwWqMozN2tcZqzCX4K,Remember the Name (feat. Styles of Beyond),75,230493,1,"['Fort Minor', 'Styles Of Beyond']","['7dWYWUbO68rXJOcyA7SpJk', '5bf6yYgHODBW5EreBZshpX']",11/21/2005,0.688,0.835,8,-4.162,1,0.0911,0.0583,2.87E-06,0.0795,0.88,84.858,4
5vlEg2fT4cFWAqU5QptIpQ,Replay,75,182307,0,['Iyaz'],['5tKXB9uuebKE34yowVaU3C'],8/11/2009,0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
57Xjny5yNzAcsxnusKmAfA,Reptilia,75,219827,0,['The Strokes'],['0epOFNiUfyON9EYx7Tpr6V'],10/28/2003,0.489,0.649,9,-5.11,1,0.0336,0.000603,0.713,0.101,0.77,158.009,4
7s25THrKz86DM225dOYwnr,Respect,75,147600,0,['Aretha Franklin'],['7nwUJBm0HE4ZxD3f5cy5ok'],3/10/1967,0.805,0.558,0,-5.226,1,0.041,0.164,2.20E-05,0.0546,0.965,114.95,4
630sXRhIcfwr2e4RdNtjKN,Rewrite The Stars,75,217440,0,"['Zac Efron', 'Zendaya']","['6U1dBXJhC8gXFjamvFTmHg', '6sCbFbEjbYepqswM1vWjjs']",11/17/2017,0.684,0.619,10,-7.005,1,0.0386,0.0716,0,0.122,0.284,125.046,4
6mQLN3zRtAp6ovjusyYKrV,Rewrite The Stars (with James Arthur & Anne-Marie),75,218293,0,"['James Arthur', 'Anne-Marie']","['4IWBUUAFIplrNtaOHcJPRM', '1zNqDE7qDGCsyzJwohVaoX']",10/25/2018,0.67,0.743,10,-4.993,1,0.0393,0.237,0,0.465,0.571,125.944,4
6QNFQJKlZUKr0xlGZ74CZJ,Rich And Blind,75,228720,1,['Juice WRLD'],['4MCBfE4596Uoi2O4DtmEMz'],6/22/2018,0.638,0.624,10,-5.37,1,0.0798,0.0102,0,0.0944,0.445,159.937,4
3GpbwCm3YxiWDvy29Uo3vP,Right Round,75,204640,0,['Flo Rida'],['0jnsk9HBra6NMjO2oANoPY'],3/30/2009,0.72,0.672,7,-6.852,1,0.0551,0.009,0,0.232,0.705,124.986,4
1cS0TgbR263ey9jn0MwD2s,River (feat. Ed Sheeran),75,221013,1,"['Eminem', 'Ed Sheeran']","['7dGJo4pcD2V6oG8kP0tJRR', '6eUKZXaKkcviH0Ku9w2n3V']",12/15/2017,0.748,0.749,8,-5.916,0,0.516,0.142,0,0.0713,0.659,90.09,4
27tNWlhdAryQY04Gb2ZhUI,Roar,75,223546,0,['Katy Perry'],['6jJ0s89eD6GaHleKKya26X'],1/1/2013,0.671,0.771,7,-4.821,0,0.0316,0.00492,7.28E-06,0.354,0.436,90.003,4
0JcNysfWVWaMS7R6vzGB2k,Robarte un Beso,75,194742,0,"['Carlos Vives', 'Sebastian Yatra']","['4vhNDa5ycK0ST968ek7kRr', '07YUOmWljBTXwIseAUd9TW']",11/10/2017,0.742,0.859,10,-4.942,1,0.0482,0.0824,0,0.359,0.652,95.046,4
7oOOI85fVQvVnK5ynNMdW7,Rock with You - Single Version,75,220627,0,['Michael Jackson'],['3fMbdgg4jU18AjLCKBhRSm'],8/10/1979,0.808,0.535,1,-12.521,1,0.0353,0.179,9.91E-05,0.158,0.848,114.031,4
4uziEsK1yiqdauKVDPsmVG,Rojo,75,150853,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],2/27/2020,0.652,0.595,11,-4.04,1,0.113,0.15,0.000115,0.0842,0.444,172.27,4
380HmhwTE2NJgawn1NwkXi,Rojo,75,150720,0,['J Balvin'],['1vyhD5VmyZ7KMfW5gqLgo5'],3/19/2020,0.663,0.598,11,-4.042,1,0.17,0.193,8.02E-05,0.0856,0.4,172.245,4
14mc78ctIxHOMYz5fWja7Q,Rolando (Caught In The Rain),75,142315,1,['DUSTY LOCANE'],['22hWz22JAmIhIEp0u1X01L'],11/27/2020,0.597,0.689,5,-4.303,1,0.446,0.467,0,0.562,0.644,118.35,4
3IV4swNduIRunHREK80owz,Rollin' (Air Raid Vehicle),75,213760,1,['Limp Bizkit'],['165ZgPlLkK7bf5bDoFc6Sb'],10/17/2000,0.603,0.933,1,-3.358,1,0.171,0.00591,0,0.206,0.709,96.306,4
4waqcUQWdj0yH26STWl2Rq,Rosas,75,236333,0,['La Oreja de Van Gogh'],['4U7lXyKdSf1JbM1aXvsodC'],2003,0.783,0.685,9,-5.008,1,0.0271,0.627,3.49E-06,0.108,0.54,107.01,4
4k7x3QKrc3h3U0Viqk0uop,Rosyln,75,289560,0,"['Bon Iver', 'St. Vincent']","['4LEiUm1SRbFMgfqnQTwUbQ', '7bcbShaqKdcyjnmv4Ix8j6']",10/9/2009,0.329,0.277,10,-13.111,0,0.0302,0.971,0.024,0.0971,0.121,159.719,3
5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,75,190932,1,['Zara Larsson'],['1Xylc3o4UrD53lo9CvFvVg'],10/18/2018,0.665,0.699,11,-5.265,1,0.0578,0.423,0,0.0969,0.585,124.896,4
1uXbwHHfgsXcUKfSZw5ZJ0,Run the World (Girls),75,236093,0,['BeyoncÃ©'],['6vWDO969PvNqNYHIOW5v0m'],6/24/2011,0.733,0.899,0,-4.237,1,0.143,0.00496,4.72E-05,0.372,0.76,127.086,4
1tm7c4V0kqLiN0XPVnoUcT,Runnin' Thru the 7th with My Woadies,75,205766,1,"['$uicideboy$', 'Pouya']","['1VPmR4DJC1PlOtd0IADAO0', '4nXOZlYoAD67hF9aUEncMY']",9/15/2015,0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,4
48NXpYRuvv9izul4oXhqS9,SaliÃ³ El Sol,75,315293,0,['Don Omar'],['33ScadVnbm2X8kkUqOkC6Z'],1/1/2006,0.887,0.701,4,-5.892,0,0.0873,0.106,0.00948,0.0466,0.965,110.002,4
2pg2TiYo9Rb8KeB5JjP7jS,Sativa,75,276960,1,"['JhenÃ© Aiko', 'Swae Lee']","['5ZS223C6JyBfXasXxrRqOk', '1zNqQNIdeOUZHb8zbZRFMX']",9/22/2017,0.741,0.61,6,-7.34,0,0.0511,0.316,0,0.534,0.72,125.99,4
5kfNriitmkNE8mUbZ7gbq8,Saturday Nights,75,210667,0,['Khalid'],['6LuN9FCkKOj5PcnpouEgny'],10/18/2018,0.551,0.44,10,-8.559,1,0.0985,0.606,3.02E-05,0.11,0.341,167.923,4
1vcxF91pWs9uNwDROuiCPB,Savior,75,242280,0,['Rise Against'],['6Wr3hh341P84m3EI8qdn9O'],1/1/2008,0.554,0.932,5,-3.424,0,0.0485,0.00154,0.000142,0.425,0.478,112.49,4
2aI21FnmY7TJVKeMaoQZ0t,Say It Right,75,223080,0,['Nelly Furtado'],['2jw70GZXlAI8QzWeY2bgRc'],1/1/2006,0.872,0.872,1,-6.328,1,0.139,0.0476,0.00112,0.0543,0.809,116.948,4
